index,Ticker,Date,Open,Close,Volume,quarter,Asset Turnover,Current Ratio,Days Sales In Receivables,Debt/Equity Ratio,Gross Margin,Inventory Turnover Ratio,Long-term Debt / Capital,Net Profit Margin,Operating Margin,ROE - Return On Equity,Receiveable Turnover,Return On Tangible Equity,Days,MA50,MA200,Crossover,Profitable,%Change,Ticker_encoded
7590,AAP,5/19/2008,37.54,37.45,3518500,2,0.4155,1.2847,6.5652,0.4361,47.4422,0.3851,0.3034,6.0761,10.3545,7.2584,13.7087,7.7255,1144,33.1398,33.1154,1,0,0,0.47826087
7703,AAP,10/28/2008,24.02,25.41,1850300,4,0.4023,1.3243,7.3368,0.4434,44.0975,0.4107,0.2974,2.0368,3.9243,2.2704,12.267,2.4098,1306,35.0924,35.28525,-1,0,0,0.47826087
8118,AAP,6/22/2011,57.41,57.15,1442800,2,0.4107,1.1228,7.4312,0.7411,49.7249,0.3557,0.4252,7.6235,12.7667,14.7992,12.1112,16.0424,534,61.724,61.8171,-1,1,10.07874016,0.47826087
8215,AAP,11/8/2011,65.23,66.02,1278000,4,0.3631,1.0484,9.4915,0.4906,49.0172,0.3313,0.3287,4.9936,8.4302,7.8356,9.4822,8.9765,673,60.0104,59.97345,1,1,1.28748864,0.47826087
8382,AAP,7/10/2012,68.97,69.07,1622600,3,0.3345,1.2382,12.631,0.5231,49.7658,0.3338,0.3432,6.1407,10.3161,7.8,7.1254,8.5859,918,73.152,73.2495,-1,0,0,0.47826087
8508,AAP,1/10/2013,71.06,70.28,583200,1,0.4245,1.2053,12.1563,0.4762,50.0275,0.4155,0.3223,6.0292,10.1259,9.5864,7.4035,12.0505,1102,73.0394,73.0311,1,1,9.191804212,0.47826087
8516,AAP,1/23/2013,72.34,73.21,409400,1,0.4245,1.2053,12.1563,0.4762,50.0275,0.4155,0.3223,6.0292,10.1259,9.5864,7.4035,12.0505,1115,72.4114,72.41815,-1,0,0,0.47826087
8517,AAP,1/24/2013,73.45,73.46,588000,1,0.4245,1.2053,12.1563,0.4762,50.0275,0.4155,0.3223,6.0292,10.1259,9.5864,7.4035,12.0505,1116,72.346,72.3449,1,1,2.450313096,0.47826087
8526,AAP,2/6/2013,71.35,71.4,848200,1,0.4245,1.2053,12.1563,0.4762,50.0275,0.4155,0.3223,6.0292,10.1259,9.5864,7.4035,12.0505,1129,71.626,71.64785,-1,0,0,0.47826087
8527,AAP,2/7/2013,78.2,75.55,5130000,1,0.4245,1.2053,12.1563,0.4762,50.0275,0.4155,0.3223,6.0292,10.1259,9.5864,7.4035,12.0505,1130,71.6072,71.5822,1,1,3.534083388,0.47826087
9073,AAP,1/7/2016,142.68,146.65,1343700,1,0.3531,1.3474,19.6623,0.468,45.3017,0.3677,0.3187,5.3297,9.0946,6.0405,4.5773,16.5608,463,163.1066,163.3742,-1,0,0,0.47826087
9216,AAP,8/2/2016,165.83,164.29,881800,3,0.2673,1.3713,27.4919,0.3652,43.9426,0.2893,0.2675,5.0623,8.6163,3.9865,3.2737,9.3933,671,156.5326,156.21545,1,0,0,0.47826087
9269,AAP,10/17/2016,144.41,141.34,804200,4,0.2505,1.4072,27.708,0.3576,43.5723,0.2717,0.2634,2.9942,5.0961,2.1386,3.2482,4.8555,747,152.062,152.29905,-1,0,0,0.47826087
9315,AAP,12/21/2016,172.46,171.23,454700,4,0.2505,1.4072,27.708,0.3576,43.5723,0.2717,0.2634,2.9942,5.0961,2.1386,3.2482,4.8555,812,154.8252,154.73245,1,0,0,0.47826087
9381,AAP,3/29/2017,146.71,147.76,738800,1,0.343,1.4501,21.2645,0.355,43.9556,0.3671,0.262,3.7346,6.219,3.5705,4.2324,7.6785,910,156.8538,156.942,-1,1,2.483757445,0.47826087
9599,AAP,2/8/2018,108.71,108.42,1549900,1,0.3336,1.6142,19.4283,0.2946,44.2711,0.3786,0.2275,4.7576,6.8981,3.8551,4.6324,6.9411,1226,106.744,106.71195,1,1,1.152923815,0.47826087
9935,AAP,6/12/2019,150.72,149.18,796500,2,0.207,1.3637,27.5166,0.2035,43.2818,0.3024,0.1691,5.3519,7.3222,3.3999,3.2708,5.787,1715,162.9936,163.1144,-1,0,0,0.47826087
10039,AAP,11/7/2019,169.04,167.88,669100,4,0.1878,1.272,29.3722,0.2106,43.9631,0.2671,0.1739,4.5397,5.9709,2.7023,3.0641,5.1923,1863,157.3488,156.9606,1,0,0,0.47826087
10088,AAP,1/21/2020,149.43,147.83,797300,1,0.2235,1.3604,20.9299,0.4922,43.4687,0.337,0.2597,1.6156,2.9069,1.2323,4.3001,2.3563,1938,155.5762,155.61935,-1,1,10.80971386,0.47826087
10213,AAP,7/20/2020,144.97,144.67,417700,3,0.2123,1.3847,29.8493,0.2742,44.3943,0.3236,0.2152,5.8017,10.103,3.9195,3.0151,7.0734,2119,138.1064,138.0062,1,1,7.873090482,0.47826087
10573,AAPL,6/21/2006,1.76,1.77,863296000,2,0.2891,2.4868,22.4279,0.0001,30.3204,14.2958,0.0001,10.8009,12.9519,5.0589,4.0129,5.0999,446,1.9718,1.9796,-1,0,0,0.545454545
10639,AAPL,9/25/2006,2.26,2.31,858992400,3,0.2811,2.2519,23.2954,0.0001,29.1917,12.6852,0.0001,11.2053,12.5698,5.4287,3.8634,5.5267,542,2.0602,2.0499,1,1,5.627705628,0.545454545
11002,AAPL,3/6/2008,3.81,3.7,1473698800,1,0.2465,2.7752,19.0855,0.0001,32.934,13.8407,0.0001,13.9111,17.5053,5.7885,4.7156,5.899,1070,4.4964,4.53745,-1,0,0,0.545454545
11052,AAPL,5/16/2008,5.81,5.73,765769200,2,0.2354,3.0373,19.3288,0.0001,34.8339,8.9248,0.0001,14.3623,18.6495,5.4633,4.6563,5.5564,1141,4.7858,4.76315,1,0,0,0.545454545
11141,AAPL,9/23/2008,4.03,3.88,1280364400,3,0.3568,2.6411,16.8885,0.0001,37.1194,15.945,0.0001,18.7573,27.0706,10.858,5.3291,11.103,1271,4.936,4.9373,-1,1,12.62886598,0.545454545
11950,AAPL,12/10/2012,16.19,16.33,630484400,4,0.278,1.5433,35.5529,0.0001,38.6337,22.9911,0.0001,23.9911,31.571,10.2697,2.5314,10.7635,1071,18.3518,18.42215,-1,1,14.94182486,0.545454545
